Kommentar-ID;Artikel-ID;Datum;Titel;Anzahl_Kommentare;Problematisierung;Lösungsvorschlag;Anzahl_Lösungsvorschläge;I_Ausführlichkeit;Konstruktive_Wortwahl;Mitigation/Adaption;Bürger_innen;II_Ausführlichkeit;Kommentar;User-Name;Lösungsansätze;Haltung_Lösungsansätze;Haltung_Klimakrise;Adressat_in;Lob;Kritik;Beleidigung_Inzivilität;;;;
ZO_002_011;ZO_002;230324;In welcher Klimazukunft werden wir leben?;394;1;2;0;99;2;99;99;99;Prima Darstellung. Nicht, dass es etwas Neues wäre. Aber so werden die Auswirkungen persönlich reflektierbar.;guentsch;4;99;9;7;1;4;3;;;;
ZO_002_012;ZO_002;230324;In welcher Klimazukunft werden wir leben?;394;1;2;0;99;2;99;99;99;Und die FDP bremst bei uns jeden Klimaschutz aus. Wahnsinn mit Methode. Und die SPD guckt zu. Stumpfsinn mit Methode.;frimoe;4;99;1;1;4;4;3;;;;
ZO_002_013;ZO_002;230324;In welcher Klimazukunft werden wir leben?;394;1;2;0;99;2;99;99;99;Ich finde die Darstellung gut;lutpa;4;99;9;7;1;4;3;;;;
ZO_002_014;ZO_002;230324;In welcher Klimazukunft werden wir leben?;394;1;2;0;99;2;99;99;99;"Und da es tausend Gründe gibt, warum man beim besten Willen z. B. den Fuß nicht vom Gas nehmen kann, kein Tempolimit einführen, keinen ÖPNV extrem verbilligen, keine Billionen weltweit für den Ausbau der Erneuerbaren aufbringen kann und vieles mehr, ... so lassen wir dann kommende Generationen ins Chaos gleiten.
Die Wenigsten scheinen begriffen zu haben, dass sich die Erdüberhitzung von unseren selbstgeschaffenen Sachzwängen, unserer Meinung und unserer Geldgier nicht beeindrucken lässt. Das beweisen jedenfalls nicht die Worte, aber die Taten.";Pragmatiker307;2;99;1;1;4;4;3;;;;
ZO_002_015;ZO_002;230324;In welcher Klimazukunft werden wir leben?;394;1;2;0;99;2;99;99;99;"Gab es nicht vor Kurzem einen Bericht dass das 1,5° Ziel schon nicht mehr machbar ist ?
Es ist schon Erschreckend...bei mir kam die 2,1° Prognose raus, wenn man das liest klingt es wirklich schon nach Apokalypse. Es muss sich schnell viel mehr ändern.";MK_1990;4;99;1;9;4;4;3;;;;
ZO_002_016;ZO_002;230324;In welcher Klimazukunft werden wir leben?;394;1;2;0;99;2;99;99;99;"> +3,1 bis +4,0 °C - Großer Teil der Arten verliert Lebensraum, Hungersnöte und Dürren führen zu Migration und Krieg
Also besser schon jetzt aufrüsten und für die ewigen Kriege um Ressourcen vorbereiten. Wo sind die Vorbereitungspläne für eine Invasion auf Schweden, Finnland oder gar Sibirien. Das Klima dort wird in 20-30 Jahre viel angenehmer als bei uns. Wir müssen schon jetzt handeln.";Barmherziger Engel;4;99;9;9;4;4;3;;;;
ZO_002_017;ZO_002;230324;In welcher Klimazukunft werden wir leben?;394;1;2;0;99;2;99;99;99;Danke für diesen Artikel. Genau so was brauchen wir, damit die Leute schnallen, dass sie nicht mehr davonkommen und alles wirklich schlimm wird, wenn nicht schnell gegengesteuert wird.;FrauAlly;4;99;1;7;1;4;3;;;;
ZO_002_018;ZO_002;230324;In welcher Klimazukunft werden wir leben?;394;1;2;0;99;2;99;99;99;"""Der Klimawandel wird die Erde bald grundlegend verändern.""
Das hat er schon.";Peterpaulich;4;99;9;7;4;1;3;;;;
ZO_002_019;ZO_002;230324;In welcher Klimazukunft werden wir leben?;394;1;2;0;99;2;99;99;99;Ist der Artikel hinter ner Paywall? Ich bezahle Euch gerne, aber bitte macht die weg. Hier muss jede Wahlberechtigte Person mal eingeben, wo Kinder, Enkel und auch sie selbst landen;FrauAlly;4;99;1;7;4;1;3;;;;
ZO_002_020;ZO_002;230324;In welcher Klimazukunft werden wir leben?;394;1;2;0;99;2;99;99;99;Korrektur: Der „Klimawandel“(also die größte Katastrophe der die Menschheit je gegenüberstand) wird nicht bald die Erde grundlegend verändern, er tut es jetzt in diesem Moment. Und Menschen sterben in diesem Moment an den Folgen.;Century City;4;99;9;7;4;1;3;;;;
ZO_009_001;ZO_009;230214;"UN warnt vor ""Massensterben biblischen Ausmaßes""";480;1;2;0;99;2;99;99;99;"""Guterres fordert Änderungen im Flüchtlings- und Völkerrecht.""
Warum steht das in der unteren Überschrift, wenn der Artikel mit keinem Wort darauf eingeht?";FensterBruder;4;99;9;7;4;1;3;;;;
ZO_009_002;ZO_009;230214;"UN warnt vor ""Massensterben biblischen Ausmaßes""";480;1;2;0;99;2;99;99;99;"Konsequenz - die Wanderungsbewegungen werden zunehmen.
Und die Menschen haben jedes Recht dazu.";Dogwalker;4;99;9;9;4;4;3;;;;
ZO_009_003;ZO_009;230214;"UN warnt vor ""Massensterben biblischen Ausmaßes""";480;1;2;0;99;2;99;99;99;"""und forderte Änderungen im Flüchtlings- und Völkerrecht für die Betroffenen""
Wir haben den Klimawandel verschuldet und müssen deshalb alle Opfer des Klimawandels einwandern lassen (900 Millionen Menschen in tiefliegenden Küstengebieten sind laut der UN besonders in Gefahr).";rechte Maustaste;2;99;1;2;4;4;3;;;;
ZO_009_004;ZO_009;230214;"UN warnt vor ""Massensterben biblischen Ausmaßes""";480;1;2;0;99;2;99;99;99;"Was bedeuten bitte ""biblische Ausmaße"" quantifiziert in konkret lesbaren Zahlen übersetzt? Der Bezug auf die Bibel eines UN-Generalsekretärs lässt mich fragend zurück.";Bubuin;4;99;9;2;4;4;3;;;;
ZO_009_005;ZO_009;230214;"UN warnt vor ""Massensterben biblischen Ausmaßes""";480;1;2;0;99;2;99;99;99;"Was geschah an der Perm-Trias-Grenze?
Bildergebnis für perm nach tertiär
Das größte Massenaussterben ereignete sich vor etwa 252 Millionen Jahren. Es markiert das Ende des Erdzeitalters Perm und den Beginn der Trias-Epoche. Schätzungen gehen davon aus, dass damals drei Viertel aller Landlebewesen und sogar 95 Prozent des Lebens im Ozean innerhalb weniger tausend Jahre verschwanden.
Also nichts Neues
Gattung Mensch geht, es kommt was Neues";Explantio;4;99;9;9;4;4;3;;;;
ZO_009_006;ZO_009;230214;"UN warnt vor ""Massensterben biblischen Ausmaßes""";480;1;2;0;99;2;99;99;99;"Anstelle apokalyptische Wanderbewegungen an die Wand zu malen wäre es sicher sinnvoller endlich das effektivste Mittel gegen den Klimawandel anzugehen, nämlich Kampf gegen die Überbevölkerung. Und zwar weltweit.

Während der Westen pro Kopf zuviel CO2 ausstösst sind es in den Entwicklungs- und Schwellenländern die Menschenmassen. Artensterben ist darin eng verknüpft, in Indien werden zb immer mehr Elefanten angefahren weil sich Straßen der wachsenden Bevölkerung immer mehr durch den Dschungel fressen.

Die Menschen sind zuviel, und zwar überall. Wenn es noch stärkere Migration gibt, wird die gegenseitige Aggression ohnehin das Leben unerträglich machen denn Platz ist nirgendwo mehr";Samantha_free;4;99;1;9;4;4;3;;;;
ZO_009_007;ZO_009;230214;"UN warnt vor ""Massensterben biblischen Ausmaßes""";480;1;2;0;99;2;99;99;99;Der UN-Generalsekretär hat erkannt, dass wir alle, besonders die in den weißen Teilen der Nord- und Südhalbkugel Lebenden, jetzt daran mitwirken müssen, den aus den benachteiligten Gebieten zu uns kommenden Schutzberechtigten eine Zukunft zu ermöglichen. Das setzt voraus, sich von alten Privilegien, die vielen noch als selbstverständlich gelten, zu verabschieden. An der Pandemie und dem Jahrhundertsommer konnten wir sehen, dass die Zeit des Anspruchsdenkens vobei ist.;Dr. Widerich Hässlig;2;99;1;2;4;4;3;;;;
ZO_009_008;ZO_009;230214;"UN warnt vor ""Massensterben biblischen Ausmaßes""";480;1;2;0;99;2;99;99;99;Es ist ja nicht so dass wie bei einem Tsunami eine riesige Flutwelle über die Küsten hinwegrauscht. Es werden sehr viele Jahrzehnte vergehen bis der Anstieg um evtl. 40-50cm vonstatten gegangen ist. Zeit also um sich vorzubereiten, Küstenschutz zu betreiben oder um besonders gefährdete Landstriche zu räumen. Das geschieht ja quasi in Zeitlupe. Was sollen solche apokalyptischen Vorhersagen. Der Mensch wird sich anpassen.;TwixoderRaider;4;99;1;9;4;4;3;;;;
ZO_009_009;ZO_009;230214;"UN warnt vor ""Massensterben biblischen Ausmaßes""";480;1;2;0;99;2;99;99;99;"Solange die Yachten auf den Meeren sind, die Privatjets die Lüfte durchqueren und die unnötigste Produktgruppe der Welt weiterhin produziert wird (Makeup, sämtliche Schönheitsprodukte, Haarfärbemittel, Gelnägel und Ähnliches, das nur den Zweck der optischen Aufhübschung dient) erlaubt ist, kann es noch nicht so schlimm sein und die ganze Thematik ignoriert werden.
Change my mind!";Underbärger;4;99;3;9;4;4;3;;;;
ZO_009_010;ZO_009;230214;"UN warnt vor ""Massensterben biblischen Ausmaßes""";480;1;2;0;99;2;99;99;99;"Es wird nicht reichen.
Das Ding ist zu gross für uns.
Wir können‘s und wollen‘s nicht wirklich.

Erst nach immensen Schäden und viel zu spät werden wir die Dringlichkeit und Notwendigkeit anfangen zu begreifen. Aber dann ist es nicht mehr einzufangen.

Game over.";Jinx Powder;4;99;1;9;4;4;3;;;;
ZO_009_011;ZO_009;230214;"UN warnt vor ""Massensterben biblischen Ausmaßes""";480;1;2;0;99;2;99;99;99;Ich wünschte mir Wissenschaftler unterschiedlicher Sichtweisen in Bezug auf die Zukunft des Klimas und seiner konkreten Auswirkungen auf die Weltkugel, müssten in Öffentlichen Diskussionen ihre Argumente verteidigen! VieleMenschen scheinen gar nicht zu wissen, dass es völlig unterschiedliche Ansichten gibt, das halte ich für ein riesiges Problem.;nun ja;4;99;9;4;4;4;3;;;;
ZO_009_012;ZO_009;230214;"UN warnt vor ""Massensterben biblischen Ausmaßes""";480;1;2;0;99;2;99;99;99;"Möge Herr Guterres doch bitte auch die Ursachen benennen!
Schonungslose Indurstrialisierung und Ausbeutung der Ressourcen, massive Überbevölkerung, fehlende Bildung und Aufklärung. Das geht nur, wenn alle mit anpacken! Solange ein Großteil der Weltbevölkerung an schamanischen, prophetischen Schwachsinn glaubt anstatt sich über Ursachen und Wirkungen ein reales, wissenschaftlich fundiertes Bild zu machen, um effektiv gegenzusteuern, wird nichts Zählbares dabei herauskommen. Außer noch größeren soziale Spannungen und einem rücksichtslosen Kampf um die wenigen verbleibenden Ressourcen.";Anni_07;4;99;1;9;4;4;3;;;;
ZO_009_013;ZO_009;230214;"UN warnt vor ""Massensterben biblischen Ausmaßes""";480;1;2;0;99;2;99;99;99;"Ja, ich befürchte auch Änderungen des Flüchtlingsrechts. Die werden ganz anders ausfallen, als Herr Gutierrez sich das vorstellt. Im Moment schwingt das Pendel gerade zurück, und natürlich, wie immer, zu weit. Europa hatte seit 2015 Zeit, sich Gedanken zu machen. Die Zeit des ""Weiter so"" geht zuende.";inexorabilis;4;99;9;2;4;4;3;;;;
ZO_009_014;ZO_009;230214;"UN warnt vor ""Massensterben biblischen Ausmaßes""";480;1;2;0;99;2;99;99;99;"Der Anstieg des Meeresspiegels ist das Eine.
Das Andere ist der Anstieg der Wetterextreme.
Zu der begonnenen Klimatastrophe gesellen sich Massenaussterben von Flora und Fauna, Vermüllung des Planeten, Vergiftung der Trinkwasserreserven, Verlust fruchtbarer Böden, die unglaubliche Verschwendung von Ressourcen,..

Guterres hat recht.
P.S.: Fürchtet die Sommer";Der vierte Reiter;4;99;1;9;4;4;3;;;;
ZO_009_015;ZO_009;230214;"UN warnt vor ""Massensterben biblischen Ausmaßes""";480;1;2;0;99;2;99;99;99;Es gibt zu viele Menschen. Wir müssen aufhören uns so zu vermehren.;Dr. Graf;4;99;1;6;4;4;3;;;;
ZO_009_016;ZO_009;230214;"UN warnt vor ""Massensterben biblischen Ausmaßes""";480;1;2;0;99;2;99;99;99;"""Guterres fordert Änderungen im Flüchtlings- und Völkerrecht.""

Das ist zu einseitig gedacht.

Statt immer nur die Katastrophen (inzwischen schon ""biblischen Ausmasses)"" zu beschwören, und Maßnahmen zu fordern, die in der Konsequenz noch ganz andere biblische Ausmaße fördern würden, wäre es viel wichtiger, das alle Länder aller Kontinente der Erde an einem Strang ziehen.

Und sei es, das eine (ggf. zu schaffende) übergeordnete Stelle dies gesetzlich erzwingt.

Während die EU immer mehr Einschränkungen fordert, geht die Ressourcen-Verschwendung und der CO2-Austoss z.B. in China ungebremst , teilweise sogar beschleunigt fröhlich weiter. Um nur mal ein Beispiel zu nennen.";Anna-HH;4;99;1;2;4;4;3;;;;
ZO_009_017;ZO_009;230214;"UN warnt vor ""Massensterben biblischen Ausmaßes""";480;1;2;0;99;2;99;99;99;"UN warnt vor ""Massensterben biblischen Ausmaßes""

Das nimmt wahrlich religiöse Züge an. Was ist eigentlich der Erkenntnisgewinn des Herrn Guterres?";Schraderbräu;4;99;9;2;4;4;3;;;;
ZO_009_018;ZO_009;230214;"UN warnt vor ""Massensterben biblischen Ausmaßes""";480;1;2;0;99;2;99;99;99;"""""Megastädte auf allen Kontinenten werden schwerwiegende Konsequenzen erleiden: Kairo, Lagos, Maputo, Bangkok, Dhaka, Jakarta, Bombay, Shanghai, Kopenhagen, London, Los Angeles, New York, Buenos Aires und Santiago."" ""

Ich würde annehmen, dass die Summe der kleineren Orte und Städte die betroffene Zahl an Menschen noch deutlich übersteigt.

Wenn ich allein an die ganzen kleinen Hafenstädtchen denke, die ICH schon gesehen habe...und das ist ja nur ein winziger Bruchteil. Die kämpfen jetzt schon, wenn die Wellen mal höher steigen.

In Venedig: die Häuse sind zwar alle mit einer diffusionsdichten Steinlage gebaut...aber das Meer schwappt schon zu oft drüber und die Feuchtigkeit zieht die Wände hoch. Natürlich auch verstärkt durch die Wellen der Schiffe.";OnlyOnePlanet;4;99;1;9;4;4;3;;;;
ZO_009_019;ZO_009;230214;"UN warnt vor ""Massensterben biblischen Ausmaßes""";480;1;2;0;99;2;99;99;99;Was für ein himmelschreiender Unsinn. Hat Guterrez das tatsächlich gesagt oder ist das Wunschdenken der Redaktion?;Guidomuc;4;99;9;9;4;4;3;;;;
ZO_009_020;ZO_009;230214;"UN warnt vor ""Massensterben biblischen Ausmaßes""";480;1;2;0;99;2;99;99;99;"Wer meint, man könne die bis zum Untergang auf 200 Mio. Menschen angewachsene Bevölkerung von Bangladesch konfliktfrei in andere Länder retten, der irrt.

Es ist realistischer anzunehmen, dass der durch Bevölkerungswachstum und Klimakatatrophe angetriebene Migrationsdruck zu schwersten zivilisatorischen Verwerfungen führen wird; also zu Krieg, Seuchen, Völkermord usw.";NochNeMeinung;4;99;1;9;4;4;3;;;;
ZO_012_001;ZO_012;221106;Weltwetterorganisation sieht 1,5-Grad-Ziel kaum noch in Reichweite;650;1;2;0;99;2;99;99;99;"Könnten Wissenschaftsjournalisten eigentlich auch mal auf die Seite von Berkeley Earth schauen?

Demnach haben wir schon 1,3 Grad globale Erwärmung.

https://berkeleyearth.org/

Das sind Datenexperten, die sich mit der Verarbeitung der Messdaten der globalen Erwärmung beschäftigen.";Paul Freyburger;4;99;9;7;4;4;3;;;;
ZO_012_002;ZO_012;221106;Weltwetterorganisation sieht 1,5-Grad-Ziel kaum noch in Reichweite;650;1;2;0;99;2;99;99;99;"Tja, ist doch ein voller Erfolg. Jahrelang wurden 1,5 Grad als ""Ziel""bezeichnet. Ein Ziel ist etwas, das man erreichen will. Können wir uns alle auf die Schulter klopfen. Hamwer gut gemacht!

Die Bezeichnung als"" 1,5 Grad-Maximum"" oder ""1,5 Grad-Grenze"", die nicht zu überschreiten gilt, wäre vielleicht angemessener.";Apfelsaftschorle;4;99;1;9;4;4;3;;;;
ZO_012_003;ZO_012;221106;Weltwetterorganisation sieht 1,5-Grad-Ziel kaum noch in Reichweite;650;1;2;0;99;2;99;99;99;"Klimaleugner würden jetzt sagen, ""lohnen sich die Anstrengungen dann überhaupt noch?""";Gerhard Reinig;4;99;9;9;4;4;3;;;;
ZO_012_004;ZO_012;221106;Weltwetterorganisation sieht 1,5-Grad-Ziel kaum noch in Reichweite;650;1;2;0;99;2;99;99;99;"Das 1,5 Grad-Zeil wurde ja auch auf einem der ""Klimabasare"" ausgehandelt. ""Wollt ihr 1,5 Grad oder 2 Grad"". Natürlich waren alle für 1,5 Grad, jedenfalls verbal.

Die Realität sieht anders aus. Und das wird auch so bleiben. Auch die abgeleiteten Klimaneutralitätsziele für der einzelnen Nation werden sich in Luft auflösen.

Das heisst jetzt nicht, dass wir nichts tun sollen. Aber diese Panik und die Weltuntergangsstimmung wenn eins der gesetzten Ziele nicht erreicht wird, ist völlig daneben.";rab1952;4;99;2;9;4;4;3;;;;
ZO_012_005;ZO_012;221106;Weltwetterorganisation sieht 1,5-Grad-Ziel kaum noch in Reichweite;650;1;2;0;99;2;99;99;99;WMO mit Weltwetterorganisation zu übersetzen kann man machen. Zeugt aber nicht unbedingt von hoher redaktioneller Qualität 🙁;Off-Block;4;99;9;7;4;1;3;;;;
ZO_012_006;ZO_012;221106;Weltwetterorganisation sieht 1,5-Grad-Ziel kaum noch in Reichweite;650;1;2;0;99;2;99;99;99;Das 1,5-Grad-Ziel war schon bei seiner Formulierung völlig unrealistisch. Das ist einer der Hauptkritikpunkte an der derzeitigen Klimapolitik. Statt erreichbare Ziele anzustreben, wird eine unerreichbare Zahl zur neuen Religion erhoben und damit notwendige Anpassungen willkürlich verzögert. Denn wer noch von 1,5 Grad träumt, bereitet sich nicht ausreichend auf 3 Grad vor.;feelillibet;4;99;1;2;4;4;3;;;;
ZO_012_007;ZO_012;221106;Weltwetterorganisation sieht 1,5-Grad-Ziel kaum noch in Reichweite;650;1;2;0;99;2;99;99;99;"Solange wir keine Veränderung in den Ländern erreichen, wo die stärksten Wachstumsraten zu erwarten sind (China, Indien, Afrika, Südamerika) werden alle Klima-Ziele ein dürftiger Traum bleiben.

Wir mögen das Fundament für den Klimauntergang gelegt haben, aber auch wenn wir es schaffen würden, von einem Tag auf den anderen aufzuhören, werden andere unbeirrt weiter machen, gerade weil wir durch unser bereitwilliges Schuldeingeständnis anderen die perfekte Ausrede für ein ""jetzt erst recht!"" liefern.";Gelöschter Nutzer 167078;4;99;1;9;4;4;3;;;;
ZO_012_008;ZO_012;221106;Weltwetterorganisation sieht 1,5-Grad-Ziel kaum noch in Reichweite;650;1;2;0;99;2;99;99;99;"""Weltwetterorganisation sieht 1,5-Grad-Ziel kaum noch in Reichweite""

Das ist untertrieben. Es müsste bei der heutigen Haltung der Staaten in der Welt un von deren Bürgern ein totales Wunder geschehen, um das 1,5 Grad Ziel noch zu erreichen.

Die USA haben ihr verfügbares CO2-Kontingent schon ausgeschöpft. Sie müssten also ihren CO2-Ausstoss komplett abschalten. Das wird nicht passieren.

Das heißt ABER NICHT, dass wir uns jetzt zurück lehnen können ""hat halt nicht geklappt, nichts mehr zu tun"" -- ganz im Gegenteil. Jedes Zehntel Grad, das wir auf die 1,5 noch oben drauf satteln, wird die Probleme UND Kosten potenzieren.";Gelöschter Nutzer 104092;4;99;1;9;4;4;3;;;;
ZO_012_009;ZO_012;221106;Weltwetterorganisation sieht 1,5-Grad-Ziel kaum noch in Reichweite;650;1;2;0;99;2;99;99;99;"„ Weltwetterorganisation sieht 1,5-Grad-Ziel kaum noch in Reichweite“

Ja, einfach abhaken und nicht dem Glauben verfallen, wir in Deutschland könnten da irgendetwas dran drehen. Selbst wenn wir hier ab sofort in Höhlen leben, dem Klimawandel ist das wumpe.

Einfach auf die Veränderungen vorbereitet sein und klug die Zukunft planen.";Schraderbräu;4;99;1;9;4;4;3;;;;
ZO_012_010;ZO_012;221106;Weltwetterorganisation sieht 1,5-Grad-Ziel kaum noch in Reichweite;650;1;2;0;99;2;99;99;99;"The required action should be clear by now:

The Intergovernmental Panel on Climate Change (IPCC)
Climate Change 2022: Mitigation of Climate Change

https://www.ipcc.ch/report/s…

Earth for All: A Survival Guide for Humanity
The Club of Rome
https://amzn.to/3Dz3jqG";person1.net;4;99;1;9;4;4;3;;;;
ZO_012_011;ZO_012;221106;Weltwetterorganisation sieht 1,5-Grad-Ziel kaum noch in Reichweite;650;1;2;0;99;2;99;99;99;Wir laufen wohl ziemlich sicher Richtung 3 Grad und mehr. Daher macht es Sinn, alle Ressourcen darauf zu verwenden, das Land darauf vorzubereiten. Landwirtschaft, Wald, Städte, Küstenschutz, einfach alles muss darauf ausgerichtet werden.;Laubfall;2;99;1;1;4;4;3;;;;
ZO_012_012;ZO_012;221106;Weltwetterorganisation sieht 1,5-Grad-Ziel kaum noch in Reichweite;650;1;2;0;99;2;99;99;99;"Some DIY simulation tools for awareness and inspiration:
Climate Simulation: https://en-roads.climateinte…
Emissions Simulation: https://c-roads.climateinter…
Climate Action Tracker: https://climateactiontracker…";person1.net;4;99;1;6;4;4;3;;;;
ZO_012_013;ZO_012;221106;Weltwetterorganisation sieht 1,5-Grad-Ziel kaum noch in Reichweite;650;1;2;0;99;2;99;99;99;Dass das Kollektiv das 1,5 Ziel nicht schafft war schon klar bei der Zielsetzung. Mittlerweile ist eher 2,5 bis 3 Grad realistisch.;Last but not least;4;99;1;9;4;4;3;;;;
ZO_012_014;ZO_012;221106;Weltwetterorganisation sieht 1,5-Grad-Ziel kaum noch in Reichweite;650;1;2;0;99;2;99;99;99;"Mein Vorschlag...

Erst einmal die Forderung aus den 60 ziger Jahren umsetzen Stichwort Frieden: ""Peace not War"".

Dann die Forderung aus den 80 ziger Jahren Stichwort Umweltschutz: ""Erst wenn der letzte Baum gefällt ist...werdet Ihr merken das man Geld nicht essen kann"".

Wenn das alles umgesetzt wurde, merkt man, dass es kein Klimaschutz bedarf.";Energie-Konzept;4;99;3;9;4;4;3;;;;
ZO_012_015;ZO_012;221106;Weltwetterorganisation sieht 1,5-Grad-Ziel kaum noch in Reichweite;650;1;2;0;99;2;99;99;99;"Vielleicht sollten wir machen was wir können, aber das werden wir nicht.
Eine Regierung, die der Bevölkerung etwas zumutet - Veggie-Day - wird abgewählt. Wir haben fertig, aus die Maus.";aadam;4;99;9;6;4;4;3;;;;
ZO_012_016;ZO_012;221106;Weltwetterorganisation sieht 1,5-Grad-Ziel kaum noch in Reichweite;650;1;2;0;99;2;99;99;99;Die Folgen sind tragisch, noch tragischer allerdings ist, dass KlimaschützerInnen als Terroristen bezeichnet werden.;drive-and-style;4;99;1;9;4;4;3;;;;
ZO_012_017;ZO_012;221106;Weltwetterorganisation sieht 1,5-Grad-Ziel kaum noch in Reichweite;650;1;2;0;99;2;99;99;99;"Solange China und Indien nicht aus der Kohleverstromung austreten, wird sich nichts tun, und soviel ich weiss, werden 70% des indischen Stromes so erzeugt

Die repräsentieren 2,8 Milliarden Menschen,

Die gesamte westliche Welt, rund 1 Milliarde, die teilweise auf dem richtigen Weg sind, denn der CO²-Ausstoss ist in Deutschland in 30 Jahren um 40% gesunken, während er weltweit im selben Zeitraum um 60% gestiegen ist.

Es muss sich also unbedingt international etwas tun, sich hier auf der Strasse festzukleben wird da nicht helfen, auch wenn ich den Protest unterstütze.";rapace;2;99;1;2;4;4;3;;;;
